n03492542,n01734418,n04204347,n02110627,n01784675,n02111500,n02487347,n04604644,n03133878,n01514668,n03794056,n03935335,n03676483,n04501370,n02788148,n01984695,n03584254,n02093754,n02091244,n03837869,n02397096,n07718472,n03538406,n02114367,n02009229,n04201297,n04579145,n03804744,n02088364,n01688243,n03840681,n01695060,n02091134,n01877812,n02444819,n01608432,n02106662,n02100877,n03937543,n04552348,n02097298,n02325366,n03131574,n04398044,n02097209,n02396427,n02481823,n04584207,n02105056,n02791124
n09472597,n01855672,n07753592,n03527444,n03670208,n03478589,n03201208,n02927161,n04612504,n01978287,n03977966,n01751748,n02088094,n01943899,n03126707,n04509417,n04141327,n03998194,n03825788,n04523525,n02096437,n02492035,n03929660,n04086273,n02093859,n03467068,n02120505,n01692333,n02667093,n02106550,n03874599,n03623198,n02835271,n03584829,n03902125,n01873310,n03775071,n04483307,n03868242,n01631663,n06794110,n02655020,n02319095,n07697537,n02115641,n03980874,n07693725,n03916031,n04037443,n02490219
n02113799,n03954731,n02108422,n02027492,n07718747,n04347754,n02113023,n04371774,n03630383,n01775062,n01774384,n02085782,n07716906,n03595614,n02092002,n01694178,n02804414,n03425413,n02108915,n02672831,n07873807,n01748264,n02086910,n13052670,n03775546,n03337140,n02699494,n03627232,n02364673,n03535780,n04273569,n07747607,n04118776,n01632458,n03598930,n04049303,n07753275,n03160309,n02101388,n02086079,n02977058,n02480855,n03792782,n04179913,n06874185,n03496892,n09468604,n02422699,n04399382,n01774750
n01847000,n03976467,n01797886,n02011460,n04515003,n02095314,n02177972,n03710193,n02356798,n03018349,n02123394,n03325584,n02264363,n02125311,n02415577,n02814860,n02802426,n06785654,n02484975,n04532670,n13040303,n07745940,n03127747,n02317335,n04554684,n03884397,n09229709,n07753113,n07831146,n03697007,n02794156,n02111277,n02104365,n01944390,n01806143,n01819313,n07695742,n02457408,n02105162,n01644373,n04125021,n02095889,n03982430,n02494079,n02980441,n02101006,n02098286,n04147183,n10565667,n03208938
n02112350,n03384352,n01968897,n01560419,n01986214,n01773157,n04326547,n03617480,n03791053,n03947888,n04482393,n01910747,n02865351,n04409515,n03447721,n02497673,n03854065,n07802026,n04118538,n02690373,n04465501,n02692877,n03457902,n02950826,n03042490,n02787622,n02174001,n01735189,n04553703,n02607072,n01669191,n04606251,n04111531,n01514859,n02002724,n02437616,n01687978,n01616318,n02114548,n02088238,n02096585,n03792972,n01796340,n02361337,n02488702,n01494475,n02077923,n01917289,n03447447,n01930112
n07714571,n07717410,n02860847,n03769881,n03445924,n01955084,n04613696,n07749582,n02165105,n04487081,n03444034,n03445777,n09256479,n02666196,n04389033,n03404251,n02091467,n02105641,n01950731,n01601694,n03095699,n02480495,n02112137,n02454379,n03345487,n01981276,n07565083,n02326432,n02190166,n02037110,n01484850,n01580077,n03891332,n04417672,n02128385,n01829413,n04367480,n02102040,n01728920,n01632777,n03187595,n07715103,n03992509,n01530575,n04311004,n02074367,n01882714,n02110806,n02051845,n02398521
n04418357,n02138441,n04065272,n03379051,n01704323,n03777568,n02115913,n02009912,n02133161,n01532829,n01582220,n02117135,n02093647,n02018207,n04251144,n03207743,n03388549,n01824575,n02096051,n02346627,n03000684,n02101556,n01843383,n03991062,n03942813,n07768694,n04311174,n12768682,n02687172,n03240683,n04266014,n04149813,n02028035,n12998815,n03814906,n03721384,n02110958,n04310018,n03495258,n01795545,n02132136,n01531178,n01770393,n01440764,n02510455,n02486410,n02447366,n02782093,n02281787,n02892201
n03134739,n02129165,n02128757,n03544143,n02120079,n02492660,n02090622,n02088632,n03649909,n02500267,n01806567,n01855032,n07760859,n03388043,n02951358,n03743016,n03026506,n01443537,n07697313,n02066245,n04252077,n02172182,n04458633,n01798484,n02058221,n02113978,n13037406,n02437312,n02280649,n02277742,n02105505,n02102973,n04254680,n02259212,n02108551,n02033041,n04346328,n02445715,n02056570,n02727426,n03599486,n02002556,n02843684,n07754684,n04335435,n02701002,n07613480,n02422106,n03788365,n03924679
n03218198,n02165456,n12267677,n02417914,n02281406,n01843065,n02018795,n02112018,n02111889,n02086646,n01592084,n03930313,n02643566,n01537544,n03874293,n03857828,n03290653,n03788195,n01768244,n02134084,n04146614,n02007558,n01818515,n02092339,n02129604,n02279972,n07720875,n01828970,n02276258,n03717622,n01833805,n03733281,n01558993,n01817953,n03956157,n02109525,n04486054,n07742313,n04153751,n02817516,n02107683,n03272562,n02777292,n03662601,n03888257,n02389026,n02606052,n06359193,n01518878,n02793495
n04252225,n03417042,n02410509,n04019541,n02017213,n02328150,n02917067,n02965783,n04540053,n02130308,n01534433,n03673027,n01622779,n09288635,n03344393,n07714990,n04243546,n02966193,n02489166,n04525305,n02116738,n07730033,n02102177,n01614925,n04562935,n01820546,n02123597,n02071294,n01629819,n03733131,n01872401,n04044716,n02013706,n01860187,n02509815,n11879895,n12620546,n02391049,n02111129,n02110341,n03393912,n03590841,n02342885,n03841143,n02006656,n12985857,n02025239,n12057211,n13044778,n11939491
n03532672,n03372029,n04591157,n03642806,n02443114,n07932039,n12144580,n02109961,n04370456,n02776631,n07930864,n01756291,n04270147,n02123159,n03016953,n03710637,n03710721,n03658185,n04317175,n02107908,n02979186,n01740131,n03782006,n04560804,n02910353,n03476991,n04239074,n03866082,n03633091,n07860988,n04090263,n04525038,n03832673,n04493381,n02113712,n04336792,n03400231,n04392985,n04154565,n03970156,n03793489,n04356056,n03976657,n03041632,n04355933,n03045698,n02895154,n02988304,n02747177,n07734744
n15075141,n04286575,n07734744,n04350905,n04270147,n03637318,n02988304,n01740131,n01744401,n03476991,n03476684,n04357314,n03782006,n04152593,n02776631,n02808440,n03976657,n04154565,n07930864,n03141823,n04356056,n02113712,n07860988,n04591713,n04596742,n02669723,n02749479,n04443257,n02979186,n04239074,n03249569,n03045698,n02747177,n03146219,n04493381,n02094433,n04263257,n02109961,n04317175,n04479046,n04392985,n02123159,n03868863,n02974003,n03642806,n03970156,n03657121,n01689811,n03400231,n04008634
n03887697,n03950228,n03637318,n01773549,n02504013,n02097474,n07836838,n02096294,n04090263,n02123159,n03041632,n02988304,n03976657,n03657121,n04008634,n04548280,n04154565,n07932039,n04099969,n03970156,n01667114,n04336792,n03642806,n03124170,n03110669,n03498962,n03476991,n04152593,n02669723,n03249569,n02769748,n01689811,n03930630,n03832673,n03372029,n03868863,n04596742,n04350905,n02403003,n04392985,n03124043,n03483316,n03045698,n02776631,n07860988,n03297495,n02979186,n03661043,n02094433,n02999410
n03770679,n03297495,n01740131,n03220513,n04033995,n04532106,n01644900,n01665541,n04591713,n12144580,n02168699,n02483708,n03759954,n03450230,n02114712,n02814533,n03950228,n02791270,n02951585,n04263257,n03976657,n02087394,n02124075,n03832673,n01744401,n02403003,n07684084,n04152593,n02979186,n03125729,n02108000,n03400231,n02988304,n04370456,n02087046,n03666591,n03347037,n04067472,n03250847,n03642806,n03657121,n02096294,n02895154,n04493381,n03461385,n01689811,n02999410,n03124043,n02443484,n04548362
n03063599,n04286575,n02483708,n03016953,n02097474,n07579787,n02669723,n04467665,n03207941,n02808440,n04461696,n03249569,n03888605,n13133613,n04004767,n02441942,n01665541,n03459775,n04536866,n03796401,n02119789,n03481172,n02093428,n02526121,n03710637,n04127249,n04239074,n02939185,n02124075,n03125729,n01740131,n01667114,n02708093,n04259630,n02113624,n02090721,n03250847,n04067472,n04154565,n02097658,n09421951,n02488291,n03866082,n01644900,n03724870,n03868863,n03223299,n02412080,n04192698,n02087046
